# Crown Dependencies & England/Wales — Suicide Mortality Data
# Compiled by Coalfinch from public sources. See source column for each row.
# Samaritans helpline: 116 123 (free, 24/7) | www.samaritans.org
# IoM: Lifeline 0808 808 8000 | GY: Samaritans 116 123 | JE: Samaritans 116 123
#
# NOTES ON METHODOLOGY
# E&W: ONS annual registrations. ASMR = 2013 European Standard Population, ages 10+.
#   Standard of proof changed 26 July 2018 (criminal→civil). Series not directly comparable across this break.
# IoM: IOM Public Health Directorate. Annual counts = year of registration, ICD-10 X60-X84 + Y10-Y34.
#   Population ~85,000 throughout. ASMR = 3yr rolling, 2013 ESP, from IOM Mortality Report 2022 Fig 29 + FOI.
# Guernsey: Public Health Intelligence Unit. Annual data only available as 3-year averages (small numbers).
#   Population ~63,000–64,000. ASMR = 3yr rolling, 2013 ESP, from Mortality Trends 2021 & 2024.
#   Definition: ICD-10 X60-X84 + Y10-Y34 (suicide + undetermined intent). Includes Alderney.
# Jersey: Health and Care Jersey / Statistics Jersey. Annual counts from Jersey Mortality Statistics reports.
#   Population ~103,000–107,000. ASMR = 3yr rolling, 2013 ESP, from Jersey Mortality Statistics 2020 & 2024.
#   Definition: intentional self-harm + undetermined intent (consistent with ONS).
#
# SERIES TYPES
# count_annual = confirmed annual registration count (deaths)
# count_3yr_avg = 3-year rolling average annual count (used where annual figures not published due to small numbers)
# rate_crude = count / population * 100,000 (calculated, not published)
# rate_asmr_3yr = 3-year rolling age-standardised mortality rate per 100,000, 2013 ESP (published)
# rate_asmr_annual = single-year ASMR per 100,000, 2013 ESP (published for E&W only)
#
jurisdiction,year,series_type,value,value_notes,source,source_url
#
# ── ENGLAND & WALES ──────────────────────────────────────────────────────────────
England & Wales,1999,rate_asmr_annual,11.5,Pre-2018 criminal standard,ONS Suicides in England and Wales 2024 registrations,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/suicidesintheunitedkingdom/2024registrations
England & Wales,2000,rate_asmr_annual,11.2,Pre-2018 criminal standard,ONS Suicides in England and Wales 2024 registrations,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/suicidesintheunitedkingdom/2024registrations
England & Wales,2001,rate_asmr_annual,11.1,Pre-2018 criminal standard,ONS Suicides in England and Wales 2024 registrations,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/suicidesintheunitedkingdom/2024registrations
England & Wales,2002,rate_asmr_annual,11.0,Pre-2018 criminal standard,ONS Suicides in England and Wales 2024 registrations,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/suicidesintheunitedkingdom/2024registrations
England & Wales,2003,rate_asmr_annual,11.0,Pre-2018 criminal standard,ONS Suicides in England and Wales 2024 registrations,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/suicidesintheunitedkingdom/2024registrations
England & Wales,2004,rate_asmr_annual,10.9,Pre-2018 criminal standard,ONS Suicides in England and Wales 2024 registrations,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/suicidesintheunitedkingdom/2024registrations
England & Wales,2005,rate_asmr_annual,10.6,Pre-2018 criminal standard,ONS Suicides in England and Wales 2024 registrations,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/suicidesintheunitedkingdom/2024registrations
England & Wales,2006,rate_asmr_annual,10.3,Pre-2018 criminal standard,ONS Suicides in England and Wales 2024 registrations,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/suicidesintheunitedkingdom/2024registrations
England & Wales,2007,rate_asmr_annual,10.2,Pre-2018 criminal standard,ONS Suicides in England and Wales 2024 registrations,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/suicidesintheunitedkingdom/2024registrations
England & Wales,2008,rate_asmr_annual,10.5,Pre-2018 criminal standard,ONS Suicides in England and Wales 2024 registrations,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/suicidesintheunitedkingdom/2024registrations
England & Wales,2009,rate_asmr_annual,10.8,Pre-2018 criminal standard,ONS Suicides in England and Wales 2024 registrations,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/suicidesintheunitedkingdom/2024registrations
England & Wales,2010,rate_asmr_annual,11.1,Pre-2018 criminal standard,ONS Suicides in England and Wales 2024 registrations,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/suicidesintheunitedkingdom/2024registrations
England & Wales,2011,rate_asmr_annual,11.5,Pre-2018 criminal standard,ONS Suicides in England and Wales 2024 registrations,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/suicidesintheunitedkingdom/2024registrations
England & Wales,2012,rate_asmr_annual,10.9,Pre-2018 criminal standard,ONS Suicides in England and Wales 2024 registrations,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/suicidesintheunitedkingdom/2024registrations
England & Wales,2013,rate_asmr_annual,11.0,Pre-2018 criminal standard,ONS Suicides in England and Wales 2024 registrations,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/suicidesintheunitedkingdom/2024registrations
England & Wales,2014,rate_asmr_annual,10.8,Pre-2018 criminal standard,ONS Suicides in England and Wales 2024 registrations,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/suicidesintheunitedkingdom/2024registrations
England & Wales,2015,rate_asmr_annual,10.5,Pre-2018 criminal standard,ONS Suicides in England and Wales 2024 registrations,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/bulletins/suicidesintheunitedkingdom/2024registrations
